timestamp,temperature_C,humidity_percent,cloud_cover_percent,solar_irradiance_Wm2,wind_speed_ms,load_normalize
4/1/2007 0:00,4.7,99,100,0,6.4,3.48
4/1/2007 0:15,4.4,99.25,100,0,6.075,4.458
4/1/2007 0:30,4.1,99.5,100,0,5.75,1.568
4/1/2007 0:45,3.8,99.75,100,0,5.425,1.374
4/1/2007 1:00,3.5,100,100,0,5.1,1.432
4/1/2007 1:15,3.775,99.75,100,0,5.275,1.458
4/1/2007 1:30,4.05,99.5,100,0,5.45,1.392
4/1/2007 1:45,4.325,99.25,100,0,5.625,3.558
4/1/2007 2:00,4.6,99,100,0,5.8,2.018
4/1/2007 2:15,4.725,98.75,100,0,6.175,1.836
4/1/2007 2:30,4.85,98.5,100,0,6.55,2.03
4/1/2007 2:45,4.975,98.25,100,0,6.925,1.66
4/1/2007 3:00,5.1,98,100,0,7.3,1.468
4/1/2007 3:15,5.175,97.75,99.25,0,7.575,1.662
4/1/2007 3:30,5.25,97.5,98.5,0,7.85,1.404
4/1/2007 3:45,5.325,97.25,97.75,0,8.125,0.634
4/1/2007 4:00,5.4,97,97,0,8.4,0.334
4/1/2007 4:15,5.4,96.75,95,0,8.45,0.23
4/1/2007 4:30,5.4,96.5,93,0,8.5,0.304
4/1/2007 4:45,5.4,96.25,91,0,8.55,0.33
4/1/2007 5:00,5.4,96,89,0,8.6,0.23
4/1/2007 5:15,5.275,96.25,86,0,8.475,0.302
4/1/2007 5:30,5.15,96.5,83,0,8.35,0.324
4/1/2007 5:45,5.025,96.75,80,0,8.225,0.308
4/1/2007 6:00,4.9,97,77,0,8.1,0.38
4/1/2007 6:15,4.925,96.75,74.75,1.25,8,0.396
4/1/2007 6:30,4.95,96.5,72.5,2.5,7.9,0.23
4/1/2007 6:45,4.975,96.25,70.25,3.75,7.8,0.312
4/1/2007 7:00,5,96,68,5,7.7,0.328
4/1/2007 7:15,5.3,95.75,65.5,22.25,8.175,0.23
4/1/2007 7:30,5.6,95.5,63,39.5,8.65,0.46
4/1/2007 7:45,5.9,95.25,60.5,56.75,9.125,1.546
4/1/2007 8:00,6.2,95,58,74,9.6,1.796
4/1/2007 8:15,6.6,92.25,57.5,108.25,10.55,2.732
4/1/2007 8:30,7,89.5,57,142.5,11.5,1.574
4/1/2007 8:45,7.4,86.75,56.5,176.75,12.45,1.672
4/1/2007 9:00,7.8,84,56,211,13.4,1.936
4/1/2007 9:15,8.175,82.25,59,253.5,13.4,1.45
4/1/2007 9:30,8.55,80.5,62,296,13.4,1.622
4/1/2007 9:45,8.925,78.75,65,338.5,13.4,1.694
4/1/2007 10:00,9.3,77,68,381,13.4,1.756
4/1/2007 10:15,9.675,75,63.75,412,13.1,1.812
4/1/2007 10:30,10.05,73,59.5,443,12.8,1.97
4/1/2007 10:45,10.425,71,55.25,474,12.5,1.868
4/1/2007 11:00,10.8,69,51,505,12.2,1.84
4/1/2007 11:15,11.125,68,41,537,12.275,1.952
4/1/2007 11:30,11.45,67,31,569,12.35,1.842
4/1/2007 11:45,11.775,66,21,601,12.425,1.658
4/1/2007 12:00,12.1,65,11,633,12.5,1.588
4/1/2007 12:15,12.425,63.75,8.5,657.75,12.875,1.722
4/1/2007 12:30,12.75,62.5,6,682.5,13.25,1.512
4/1/2007 12:45,13.075,61.25,3.5,707.25,13.625,1.498
4/1/2007 13:00,13.4,60,1,732,14,1.436
4/1/2007 13:15,13.625,59.25,2,733,14.6,1.384
4/1/2007 13:30,13.85,58.5,3,734,15.2,1.334
4/1/2007 13:45,14.075,57.75,4,735,15.8,1.47
4/1/2007 14:00,14.3,57,5,736,16.4,1.392
4/1/2007 14:15,14.45,56.25,5.75,720.25,16.925,1.334
4/1/2007 14:30,14.6,55.5,6.5,704.5,17.45,2.014
4/1/2007 14:45,14.75,54.75,7.25,688.75,17.975,1.986
4/1/2007 15:00,14.9,54,8,673,18.5,1.5
4/1/2007 15:15,14.975,53.5,10.75,644.5,18.85,1.486
4/1/2007 15:30,15.05,53,13.5,616,19.2,1.54
4/1/2007 15:45,15.125,52.5,16.25,587.5,19.55,1.454
4/1/2007 16:00,15.2,52,19,559,19.9,0.526
4/1/2007 16:15,15.2,52.5,30.25,522,19.75,0.35
