timestamp,temperature_C,humidity_percent,cloud_cover_percent,solar_irradiance_Wm2,wind_speed_ms,load_normalize,,,,,,,,,,,load_normalize
6/10/2025 0:00,25.6,94,100,0,6.4,0.201075047,,,,,,,,,4.837,peak load,0.9726
6/10/2025 0:15,25.675,94.25,100,0,6.4,0.331693198,,,,,,,,,,,1.6044
6/10/2025 0:30,25.75,94.5,100,0,6.4,0.168802977,,,,,,,,,,,0.8165
6/10/2025 0:45,25.825,94.75,100,0,6.4,0.200330784,,,,,,,,,,,0.969
6/10/2025 1:00,25.9,95,100,0,6.4,0.218110399,,,,,,,,,,,1.055
6/10/2025 1:15,25.825,95.25,100,0,6.775,0.307256564,,,,,,,,,,,1.4862
6/10/2025 1:30,25.75,95.5,100,0,7.15,0.265598511,,,,,,,,,,,1.2847
6/10/2025 1:45,25.675,95.75,100,0,7.525,0.255757701,,,,,,,,,,,1.2371
6/10/2025 2:00,25.6,96,100,0,7.9,0.257804424,,,,,,,,,,,1.247
6/10/2025 2:15,25.6,95.75,100,0,8.375,0.246578458,,,,,,,,,,,1.1927
6/10/2025 2:30,25.6,95.5,100,0,8.85,0.197229688,,,,,,,,,,,0.954
6/10/2025 2:45,25.6,95.25,100,0,9.325,0.158507339,,,,,,,,,,,0.7667
6/10/2025 3:00,25.6,95,100,0,9.8,0.151271449,,,,,,,,,,,0.7317
6/10/2025 3:15,25.35,95,100,0,10.05,0.113438081,,,,,,,,,,,0.5487
6/10/2025 3:30,25.1,95,100,0,10.3,0.118213769,,,,,,,,,,,0.5718
6/10/2025 3:45,24.85,95,100,0,10.55,0.249679553,,,,,,,,,,,1.2077
6/10/2025 4:00,24.6,95,100,0,10.8,0.37647302,,,,,,,,,,,1.821
6/10/2025 4:15,24.8,94.5,100,0,10.25,0.327268968,,,,,,,,,,,1.583
6/10/2025 4:30,25,94,100,0,9.7,0.328344015,,,,,,,,,,,1.5882
6/10/2025 4:45,25.2,93.5,100,0,9.15,0.307215216,,,,,,,,,,,1.486
6/10/2025 5:00,25.4,93,100,0,8.6,0.30614017,,,,,,,,,,,1.4808
6/10/2025 5:15,25.45,93.5,100,3,9.325,0.298718214,,,,,,,,,,,1.4449
6/10/2025 5:30,25.5,94,100,6,10.05,0.293280959,,,,,,,,,,,1.4186
6/10/2025 5:45,25.55,94.5,100,9,10.775,0.298428778,,,,,,,,,,,1.4435
6/10/2025 6:00,25.6,95,100,12,11.5,0.289683688,,,,,,,,,,,1.4012
6/10/2025 6:15,26.05,93,100,32.5,11.425,0.294748811,,,,,,,,,,,1.4257
6/10/2025 6:30,26.5,91,100,53,11.35,0.1954724,,,,,,,,,,,0.9455
6/10/2025 6:45,26.95,89,100,73.5,11.275,0.148356419,,,,,,,,,,,0.7176
6/10/2025 7:00,27.4,87,100,94,11.2,0.14190614,,,,,,,,,,,0.6864
6/10/2025 7:15,27.475,86.25,100,128.5,11.75,0.167218526,,,,,,,,,,,0.80883601
6/10/2025 7:30,27.55,85.5,100,163,12.3,0.159213433,,,,,,,,,,,0.770115378
6/10/2025 7:45,27.625,84.75,100,197.5,12.85,0.073247881,,,,,,,,,,,0.3543
6/10/2025 8:00,27.7,84,100,232,13.4,0.147224498,,,,,,,,,,,0.712124898
6/10/2025 8:15,27.4,85,100,259,13.125,0.14219326,,,,,,,,,,,0.6877888
6/10/2025 8:30,27.1,86,100,286,12.85,0.135553522,,,,,,,,,,,0.655672388
6/10/2025 8:45,26.8,87,100,313,12.575,0.131953101,,,,,,,,,,,0.63825715
6/10/2025 9:00,26.5,88,100,340,12.3,0.123620698,,,,,,,,,,,0.597953314
6/10/2025 9:15,26.725,86.75,100,359.5,13.35,0.116569483,,,,,,,,,,,0.563846589
6/10/2025 9:30,26.95,85.5,100,379,14.4,0.112407957,,,,,,,,,,,0.543717289
6/10/2025 9:45,27.175,84.25,100,398.5,15.45,0.110359925,,,,,,,,,,,0.533810959
6/10/2025 10:00,27.4,83,100,418,16.5,0.105160356,,,,,,,,,,,0.508660641
6/10/2025 10:15,27.225,84.5,100,424.75,14.425,0.103187138,,,,,,,,,,,0.499116187
6/10/2025 10:30,27.05,86,100,431.5,12.35,0.102691496,,,,,,,,,,,0.496718764
6/10/2025 10:45,26.875,87.5,100,438.25,10.275,0.101990115,,,,,,,,,,,0.493326185
6/10/2025 11:00,26.7,89,100,445,8.2,0.100690222,,,,,,,,,,,0.487038606
6/10/2025 11:15,27,87.25,100,449.25,11.1,0.102523164,,,,,,,,,,,0.495904545
6/10/2025 11:30,27.3,85.5,100,453.5,14,0.103617318,,,,,,,,,,,0.501196968
6/10/2025 11:45,27.6,83.75,100,457.75,16.9,0.104767583,,,,,,,,,,,0.506760797
6/10/2025 12:00,27.9,82,100,462,19.8,0.103392876,,,,,,,,,,,0.500111343
6/10/2025 12:15,27.8,82.5,100,493,19.45,0.096640918,,,,,,,,,,,0.467452118
6/10/2025 12:30,27.7,83,100,524,19.1,0.093816691,,,,,,,,,,,0.453791334
6/10/2025 12:45,27.6,83.5,100,555,18.75,0.092806703,,,,,,,,,,,0.448906021
6/10/2025 13:00,27.5,84,100,586,18.4,0.090019883,,,,,,,,,,,0.435426175
6/10/2025 13:15,27.3,83.25,100,544.75,19.025,0.086896401,,,,,,,,,,,0.420317891
6/10/2025 13:30,27.1,82.5,100,503.5,19.65,0.083108945,,,,,,,,,,,0.401997965
6/10/2025 13:45,26.9,81.75,100,462.25,20.275,0.084567817,,,,,,,,,,,0.409054529
6/10/2025 14:00,26.7,81,100,421,20.9,0.087691299,,,,,,,,,,,0.424162813
6/10/2025 14:15,26.9,81.5,100,422.25,19.9,0.095182046,,,,,,,,,,,0.460395554
6/10/2025 14:30,27.1,82,100,423.5,18.9,0.101784376,,,,,,,,,,,0.492331029
6/10/2025 14:45,27.3,82.5,100,424.75,17.9,0.112136757,,,,,,,,,,,0.542405491
6/10/2025 15:00,27.5,83,100,426,16.9,0.119178619,,,,,,,,,,,0.576466982
