timestamp,temperature_C,humidity_percent,cloud_cover_percent,solar_irradiance_Wm2,wind_speed_ms,solar_normalize
1/1/2025 0:00,24.2,92,100,0,8.1,0
1/1/2025 0:15,24.1,92.5,100,0,8.275,0
1/1/2025 0:30,24,93,100,0,8.45,0
1/1/2025 0:45,23.9,93.5,100,0,8.625,0
1/1/2025 1:00,23.8,94,100,0,8.8,0
1/1/2025 1:15,23.75,94,100,0,9.35,0
1/1/2025 1:30,23.7,94,100,0,9.9,0
1/1/2025 1:45,23.65,94,100,0,10.45,0
1/1/2025 2:00,23.6,94,100,0,11,0
1/1/2025 2:15,23.575,94.25,100,0,10.8,0
1/1/2025 2:30,23.55,94.5,100,0,10.6,0
1/1/2025 2:45,23.525,94.75,100,0,10.4,0
1/1/2025 3:00,23.5,95,100,0,10.2,0
1/1/2025 3:15,23.5,95,100,0,9.425,0
1/1/2025 3:30,23.5,95,100,0,8.65,0
1/1/2025 3:45,23.5,95,100,0,7.875,0
1/1/2025 4:00,23.5,95,100,0,7.1,0
1/1/2025 4:15,23.5,95,100,0,6.775,0
1/1/2025 4:30,23.5,95,100,0,6.45,0
1/1/2025 4:45,23.5,95,100,0,6.125,0
1/1/2025 5:00,23.5,95,100,0,5.8,0
1/1/2025 5:15,23.625,94.75,100,0,4.775,0
1/1/2025 5:30,23.75,94.5,100,0,3.75,0
1/1/2025 5:45,23.875,94.25,100,0,2.725,0
1/1/2025 6:00,24,94,100,0,1.7,0.45
1/1/2025 6:15,24.15,93.25,100,11,2.6,9.8
1/1/2025 6:30,24.3,92.5,100,22,3.5,24.6
1/1/2025 6:45,24.45,91.75,100,33,4.4,26.95
1/1/2025 7:00,24.6,91,100,44,5.3,33.75
1/1/2025 7:15,24.875,90,100,89.25,6.2,32.25
1/1/2025 7:30,25.15,89,100,134.5,7.1,0
1/1/2025 7:45,25.425,88,100,179.75,8,66.7
1/1/2025 8:00,25.7,87,100,225,8.9,197.85
1/1/2025 8:15,25.9,86,100,231,9.65,332.75
1/1/2025 8:30,26.1,85,100,237,10.4,464.25
1/1/2025 8:45,26.3,84,100,243,11.15,526.4
1/1/2025 9:00,26.5,83,100,249,11.9,561.5
1/1/2025 9:15,26.825,81.5,100,281.25,11.25,604.65
1/1/2025 9:30,27.15,80,100,313.5,10.6,422.05
1/1/2025 9:45,27.475,78.5,100,345.75,9.95,556.85
1/1/2025 10:00,27.8,77,100,378,9.3,728.85
1/1/2025 10:15,27.725,77.5,100,336.25,9.15,760.25
1/1/2025 10:30,27.65,78,100,294.5,9,633.95
1/1/2025 10:45,27.575,78.5,100,252.75,8.85,528.55
1/1/2025 11:00,27.5,79,100,211,8.7,506.7
1/1/2025 11:15,27.4,78.75,100,223.75,8.95,485.8
1/1/2025 11:30,27.3,78.5,100,236.5,9.2,479.45
1/1/2025 11:45,27.2,78.25,100,249.25,9.45,503.75
1/1/2025 12:00,27.1,78,100,262,9.7,637.3
1/1/2025 12:15,27.05,79.5,100,251.75,8.575,678.1
1/1/2025 12:30,27,81,100,241.5,7.45,523.85
1/1/2025 12:45,26.95,82.5,100,231.25,6.325,504.3
1/1/2025 13:00,26.9,84,100,221,5.2,558.65
1/1/2025 13:15,26.925,83.75,100,237.5,6.725,693
1/1/2025 13:30,26.95,83.5,100,254,8.25,536.7
1/1/2025 13:45,26.975,83.25,100,270.5,9.775,316.3
1/1/2025 14:00,27,83,100,287,11.3,465.85
1/1/2025 14:15,26.95,83,100,268.5,11.3,479.35
1/1/2025 14:30,26.9,83,100,250,11.3,443
1/1/2025 14:45,26.85,83,100,231.5,11.3,340.3
1/1/2025 15:00,26.8,83,100,213,11.3,326.9
1/1/2025 15:15,26.65,84,100,197.75,11.875,335.95
1/1/2025 15:30,26.5,85,100,182.5,12.45,250.7
1/1/2025 15:45,26.35,86,100,167.25,13.025,147.4
1/1/2025 16:00,26.2,87,100,152,13.6,156.2
1/1/2025 16:15,26.025,87.75,100,119.75,12.875,156.05
1/1/2025 16:30,25.85,88.5,100,87.5,12.15,85.9
1/1/2025 16:45,25.675,89.25,100,55.25,11.425,53.45
1/1/2025 17:00,25.5,90,100,23,10.7,27.4
